year,month,day,hour,pm2.5,DEWP,Classe,TEMP,PRES,cbwd,Iws,Is,Ir
2010,1,2,0,129,-16,Médio,-4,1020,SE,1.79,0,0
2010,1,2,1,148,-15,Médio,-4,1020,SE,2.68,0,0
2010,1,2,2,159,-11,Médio,-5,1021,SE,3.57,0,0
2010,1,2,3,181,-7,Médio,-5,1022,SE,5.36,1,0
2010,1,2,4,138,-7,Médio,-5,1022,SE,6.25,2,0
2010,1,2,5,109,-7,Médio,-6,1022,SE,7.14,3,0
2010,1,2,6,105,-7,Médio,-6,1023,SE,8.93,4,0
2010,1,2,7,124,-7,Médio,-5,1024,SE,10.72,0,0
2010,1,2,8,120,-8,Médio,-6,1024,SE,12.51,0,0
2010,1,2,9,132,-7,Médio,-5,1025,SE,14.3,0,0
2010,1,2,10,140,-7,Médio,-5,1026,SE,17.43,1,0
2010,1,2,11,152,-8,Nociva,-5,1026,SE,20.56,0,0
2010,1,2,12,148,-8,Nociva,-5,1026,SE,23.69,0,0
2010,1,2,13,164,-8,Nociva,-5,1025,SE,27.71,0,0
2010,1,2,14,158,-9,Nociva,-5,1025,SE,31.73,0,0
2010,1,2,15,154,-9,Nociva,-5,1025,SE,35.75,0,0
2010,1,2,16,159,-9,Nociva,-5,1026,SE,37.54,0,0
2010,1,2,17,164,-8,Nociva,-5,1027,SE,39.33,0,0
2010,1,2,18,170,-8,Nociva,-5,1027,SE,42.46,0,0
2010,1,2,19,149,-8,Nociva,-5,1028,SE,44.25,0,0
2010,1,2,20,154,-7,Nociva,-5,1028,SE,46.04,0,0
2010,1,2,21,164,-7,Nociva,-5,1027,SE,49.17,1,0
2010,1,2,22,156,-8,Nociva,-6,1028,SE,52.3,2,0
2010,1,2,23,126,-8,Nociva,-6,1027,SE,55.43,3,0
2010,1,3,0,90,-7,Nociva,-6,1027,SE,58.56,4,0
2010,1,3,1,63,-8,Nociva,-6,1026,SE,61.69,5,0
2010,1,3,2,65,-8,Médio,-7,1026,SE,65.71,6,0
2010,1,3,3,55,-8,Médio,-7,1025,SE,68.84,7,0
2010,1,3,4,65,-8,Baixo,-7,1024,SE,72.86,8,0
2010,1,3,5,83,-9,Baixo,-8,1024,SE,76.88,9,0
2010,1,3,6,91,-10,Baixo,-8,1024,SE,80.9,10,0
2010,1,3,7,86,-10,Leve,-9,1024,SE,84.92,11,0
2010,1,3,8,82,-10,Leve,-9,1024,SE,89.84,12,0
2010,1,3,9,86,-11,Leve,-9,1023,SE,93.86,13,0
2010,1,3,10,78,-11,Leve,-9,1023,SE,97.88,15,0
2010,1,3,11,98,-11,Baixo,-9,1022,SE,102.8,16,0
2010,1,3,12,107,-11,Baixo,-9,1021,SE,105.93,17,0
2010,1,3,13,90,-11,Baixo,-9,1020,SE,111.74,19,0
2010,1,3,14,96,-11,Médio,-9,1020,SE,116.66,20,0
2010,1,3,15,95,-11,Médio,-9,1020,SE,121.58,21,0
2010,1,3,16,86,-11,Baixo,-9,1020,SE,124.71,22,0
2010,1,3,17,70,-11,Médio,-9,1020,SE,127.84,23,0
2010,1,3,18,61,-11,Médio,-9,1021,cv,0.89,24,0
2010,1,3,19,53,-11,Médio,-9,1022,cv,1.78,25,0
2010,1,3,20,71,-10,Baixo,-9,1022,NW,4.02,26,0
2010,1,3,21,72,-11,Baixo,-10,1023,NW,7.15,27,0
2010,1,3,22,76,-11,Baixo,-9,1023,NW,11.17,0,0
2010,1,3,23,73,-12,Baixo,-11,1023,NW,14.3,0,0
2010,1,4,0,79,-14,Baixo,-12,1023,NW,16.09,0,0
2010,1,4,1,58,-16,Baixo,-9,1023,NW,21.9,0,0
2010,1,4,2,25,-17,Baixo,-10,1024,NW,29.95,0,0
2010,1,4,3,26,-18,Baixo,-11,1024,NW,39.78,0,0
2010,1,4,4,28,-19,Baixo,-11,1025,NW,48.72,0,0
2010,1,4,5,26,-20,Baixo,-12,1026,NW,55.87,0,0
2010,1,4,6,20,-21,Baixo,-12,1027,NW,64.81,0,0
2010,1,4,7,29,-21,Baixo,-13,1027,NW,73.75,0,0
2010,1,4,8,26,-22,Médio,-13,1028,NW,80.9,0,0
2010,1,4,9,27,-22,Médio,-13,1029,NW,90.73,0,0
2010,1,4,10,27,-22,Médio,-12,1030,NW,100.56,0,0
2010,1,4,11,25,-23,Médio,-12,1031,NW,108.61,0,0
2010,1,4,12,29,-21,Médio,-11,1030,NW,117.55,0,0
2010,1,4,13,32,-20,Médio,-10,1030,NW,127.38,0,0
2010,1,4,14,28,-21,Médio,-10,1030,NW,136.32,0,0
2010,1,4,15,29,-21,Médio,-9,1030,NW,145.26,0,0
2010,1,4,16,30,-21,Médio,-9,1031,NW,152.41,0,0
2010,1,4,17,30,-20,Baixo,-11,1032,NW,159.56,0,0
2010,1,4,18,28,-23,Leve,-11,1032,NW,165.37,0,0
2010,1,4,19,26,-21,Leve,-12,1033,NW,171.18,0,0
2010,1,4,20,31,-24,Leve,-12,1034,NW,180.12,0,0
